日期,政策,具体内容
2024-12-27,南京暂停网签5天,28日暂停，2号恢复
2024-12-02,契税新政,第一个工作日
2024-11-26,南京限售放松,部分情况不限售
2024-11-13,宣布契税12月下调,90平门槛上调至140平
